date,open,high,low,close,volume
2024-01-02,100,102,99,100,100000
2024-01-03,99,101,98,99,110000
2024-01-04,98,100,97,98,120000
2024-01-05,97,99,96,97,130000
2024-01-08,98,100,97,98,125000
2024-01-09,100,102,99,101,140000
2024-01-10,102,104,101,103,150000
2024-01-11,104,106,103,105,160000
2024-01-12,103,105,102,103,155000
2024-01-16,101,103,100,101,145000
2024-01-17,99,101,98,99,135000
2024-01-18,97,99,96,97,130000
2024-01-19,98,100,97,99,128000
2024-01-22,100,102,99,101,138000
2024-01-23,102,104,101,103,148000

